alg,dset,set,time,rmse,logp
svgd,power,1,40.8031051158905,3.875010251998901,-2.871928914928232
svgd,power,2,41.08627510070801,4.192897319793701,-3.024642370990353
svgd,power,3,49.47719693183899,4.260388851165772,-3.1094266416772016
svgd,power,4,45.22110104560852,4.342841625213623,-3.2083842768521564
svgd,power,5,43.07986402511597,4.159625053405762,-2.99781399662544
svgd,power,6,43.01380681991577,4.082556247711182,-2.9932501218916148
svgd,power,7,45.314231872558594,3.898237466812134,-2.896316380023117
svgd,power,8,44.201557874679565,4.25743293762207,-3.112090606056893
svgd,power,9,45.11456274986267,4.179662704467773,-3.047927916340377
svgd_orig,power,0,4.926734924316406,4.401874962476469,-2.9098401552640065
svgd_orig,power,1,4.723491668701172,3.952863613976711,-2.793554272588586
svgd_orig,power,2,4.716086149215698,4.170073036201885,-2.850783640438041
svgd_orig,power,3,4.743498086929321,4.3643629034743645,-2.8967653534114106
svgd_orig,power,4,4.94287896156311,4.346009595804094,-2.88821383147137
svgd_orig,power,5,4.879134893417358,4.235806399156941,-2.863820438322205
svgd_orig,power,6,4.703499794006348,4.09210830762842,-2.829855728517949
svgd_orig,power,7,4.761545896530151,4.009485936610074,-2.8081056875078527
svgd_orig,power,8,4.795544862747192,4.334063502286354,-2.897855215205387
svgd_orig,power,9,4.783609867095947,4.150881206442578,-2.8508846737356563
pbp,protein,0,169.26973390579224,4.706325113883588,-2.967944437867128
pbp,protein,1,166.83088636398315,4.694200798999196,-2.965289771556847
pbp,protein,2,168.51356196403503,4.6544209253540805,-2.9568136627334023
pbp,protein,3,168.06865000724792,4.678841125717737,-2.9620302409270423
pbp,protein,4,167.55721282958984,4.666179318540279,-2.959312973643082
svgd,protein,0,438.6056637763977,4.536477088928223,-3.067806028387057
svgd,protein,1,401.05789589881897,4.5401811599731445,-3.056078398774244
svgd,protein,2,404.23694491386414,4.510036468505859,-3.069748574433851
svgd,protein,3,403.81249713897705,4.51160192489624,-3.0494774694537563
svgd,protein,4,391.8883361816406,4.493477821350098,-3.0331755949788213
svgd_orig,protein,0,8.524188041687012,4.909427654287569,-3.0114633264776582
svgd_orig,protein,1,8.5831618309021,4.861653092552869,-3.008368352116955
svgd_orig,protein,2,8.568709135055542,4.837123216297803,-2.9952635252648614
svgd_orig,protein,3,8.548116207122803,4.844512995607967,-2.9967994523344395
svgd_orig,protein,4,8.617523193359375,4.841627860562448,-2.996235405749178
pbp,wine,0,6.449683904647827,0.6265178070161185,-0.9523852667930708
pbp,wine,1,6.4047160148620605,0.6393139456895522,-0.9737524512324612
pbp,wine,2,6.817693948745728,0.7161395510804407,-1.1251721273297293
pbp,wine,3,7.773773193359375,0.6124269752141617,-0.9284766554760032
pbp,wine,4,6.390421152114868,0.5798540505291171,-0.8741811710455009
pbp,wine,5,6.646883249282837,0.6404785146680128,-0.975647619981812
pbp,wine,6,6.881413221359253,0.6875541216555957,-1.06653280348201
pbp,wine,7,6.999058246612549,0.6897845793683147,-1.0663624993444238
pbp,wine,8,6.385477066040039,0.5728422118500751,-0.8629247381217253
pbp,wine,9,6.77564001083374,0.6353789676084453,-0.966642490144502
svgd,wine,0,14.277756929397585,0.6507827639579773,-1.1699652957570668
svgd,wine,1,13.936244010925291,0.6318711042404175,-1.1006286989702598
svgd,wine,2,12.359077215194702,0.7165968418121338,-1.4535568656192217
svgd,wine,3,13.191459894180298,0.6509996652603149,-1.1302398295256844
svgd,wine,4,12.859925985336304,0.6013388633728027,-1.054767381763956
svgd,wine,5,13.688388109207152,0.6408997774124146,-1.1658083983590857
svgd,wine,6,13.048314094543455,0.7241227030754089,-1.3680027619371449
svgd,wine,7,13.98383116722107,0.7197939157485962,-1.367285645658536
svgd,wine,8,13.501819849014282,0.6441928744316101,-1.1178346916275297
svgd,wine,9,12.748619079589844,0.6768221259117126,-1.211068836701522
svgd_orig,wine,0,6.235454797744751,0.6244051091934775,-0.9494894665874224
svgd_orig,wine,1,6.272030830383301,0.6347423023072839,-0.9647726636586748
svgd_orig,wine,2,6.266947984695435,0.6984494515335177,-1.0766374166868924
svgd_orig,wine,3,6.148850917816162,0.6043888713101332,-0.9182390432887544
svgd_orig,wine,4,6.095989942550659,0.5818169755167248,-0.8893184017681695
svgd_orig,wine,5,6.17011833190918,0.6290979931826368,-0.9583773560787048
svgd_orig,wine,6,6.1768059730529785,0.6724514157712583,-1.0226034174643388
svgd_orig,wine,7,6.162711143493652,0.6940085900863341,-1.0695140300208483
svgd_orig,wine,8,6.163151979446411,0.5629741919413017,-0.8916259860112584
svgd_orig,wine,9,6.128007888793945,0.6377978428336444,-0.974048077283576
pbp,yacht,0,2.046542167663574,0.9018471150093296,-1.6144517913398644
pbp,yacht,1,2.0323219299316406,1.0067574239187975,-1.639233229389952
pbp,yacht,2,2.391008138656616,0.7851046033472007,-1.5818499089514022
pbp,yacht,3,2.049690008163452,1.1134628258106494,-1.629294858110425
pbp,yacht,4,2.0364487171173096,1.0659187301664803,-1.643123233913928
pbp,yacht,5,2.024704933166504,0.74853753435557,-1.590682355396169
pbp,yacht,6,2.027950048446656,0.5307961745669508,-1.504842756332477
pbp,yacht,7,2.430091857910156,1.5448520344019825,-1.8160949561825168
pbp,yacht,8,2.026951789855957,1.0128671004565946,-1.6529862026026203
pbp,yacht,9,2.4783642292022705,0.7726204589440535,-1.5506172231876685
svgd,yacht,0,8.944305181503296,1.5857826471328735,-2.4781055190194627
svgd,yacht,1,7.635897159576416,1.752529263496399,-2.5059173180103227
svgd,yacht,2,7.28604793548584,1.3235290050506592,-2.4999467691325394
svgd,yacht,3,7.38817024230957,2.236431121826172,-2.5167070169958605
svgd,yacht,4,7.65313196182251,2.007605791091919,-2.529076135359742
svgd,yacht,5,7.286309003829956,1.468194603919983,-2.5012708319647494
svgd,yacht,6,7.673651933670044,1.6349101066589355,-2.531636744166933
svgd,yacht,7,7.308235645294189,2.180785894393921,-2.520085941152694
svgd,yacht,8,7.270222187042236,1.5542842149734497,-2.5001489061764683
svgd,yacht,9,7.305969953536987,1.449344038963318,-2.50487545629942
svgd_orig,yacht,0,5.647317171096802,0.8783254848820758,-1.3997816365710831
svgd_orig,yacht,1,5.761323928833008,1.2333909967137957,-1.8753026177245828
svgd_orig,yacht,2,5.742093086242676,0.8318113451008603,-1.6453587274256205
svgd_orig,yacht,3,5.5086047649383545,1.4599064713380534,-1.9331122833861432
svgd_orig,yacht,4,5.698328018188477,1.217752149569665,-1.632624509246604
svgd_orig,yacht,5,5.888175964355469,0.8882377685228956,-1.3793848548007972
svgd_orig,yacht,6,5.504245758056641,0.5223507792986017,-1.2742356240023314
svgd_orig,yacht,7,5.740118980407715,1.9303426887834592,-2.1326387901422925
svgd_orig,yacht,8,5.816704034805298,0.6488777760514668,-1.2333450429843582
svgd_orig,yacht,9,5.259704113006592,0.5571843886460617,-1.2221262455877495
